source_process,document_type,case_number,case_title,case_status,document_number,document_date,organisation_name,organisation_number,workplace_name,workplace_cfar,county,municipality,deficiency_family,specificity,deficiency_detail,required_action,purchase_type,supplier_category,incumbent_risk,purchase_value,timing,metadata_sufficiency,earliest_public_title,earliest_public_date,days_before_sanction,inspection_message_before,chronology_sampled
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/047942,Sanktionsavgift - avsaknad av kontroll trycksatt anordning - tryckkärl,Avslutat,2025/047942-1,2025-09-26,TKE INDUSTRIMÅLNING AB,5593014045,TKE INDUSTRIMÅLNING AB,67138578,UPPSALA LÄN,Håbo,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/029795,Sanktionsavgift - avsaknad av kontroll trycksatt anordning - tryckkärl,Avslutat,2025/029795-3,2025-09-29,RF BILVERKSTAD AB,5593604811,RF BILVERKSTAD AB,68540392,STOCKHOLMS LÄN,Järfälla,PRESSURE_EQUIPMENT_CONTROL,DETERMINISTIC,INSPECTION_OR_CERTIFICATE_MISSING,Have the pressure equipment controlled by an accredited body / depressurise; document routines,INSPECTION,Accredited inspection body (pressure equipment); compressor/boiler service,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/048504,Sanktionsavgift - ställningar,Avslutat,2025/048504-1,2025-09-29,SASS CONSTRUCT AB,5594432394,SASS CONSTRUCT AB,70573522,VÄSTRA GÖTALANDS LÄN,Kungälv,SCAFFOLDING_OTHER,SPECIFIC_BUT_AMBIGUOUS,,Scaffolding-related deficiency (unspecified),UNKNOWN,Scaffolding training/rental,UNKNOWN,LOW,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/049495,Sanktionsavgift - trucktillstånd,Avslutat,2025/049495-1,2025-09-29,DSV CONTRACT LOGISTICS AB,5560540402,DSV CONTRACT LOGISTICS AB,10204063,ÖSTERGÖTLANDS LÄN,Norrköping,FORKLIFT_PERMIT,DETERMINISTIC,,"Issue written truck permits, which presupposes documented forklift training",TRAINING,Forklift training provider,LOW,LOW,TIMELY,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/053029,Sanktionsavgift - fallrisk,Avslutat,2025/053029-1,2025-09-29,BERLAND TAK AB,5565399481,BERLAND TAK AB,10757789,ÖSTERGÖTLANDS LÄN,Linköping,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,Inspektion - Omedelbart förbud 20250130 - Fallrisk - Låskolvsgatan 1,2025-01-30,242,96,YES
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/054189,Sanktionsavgift - fallrisk,Avslutat,2025/054189-1,2025-09-29,,,Saknas,43876432,STOCKHOLMS LÄN,Lidingö,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/055930,Sanktionsavgift - trucktillstånd,Avslutat,2025/055930-1,2025-09-29,AKTIEBOLAGET SVENSKA MASKINSKYLTFABRIKEN,5563075224,AKTIEBOLAGET SVENSKA MASKINSKYLTFABRIKEN,10275493,ÖSTERGÖTLANDS LÄN,Linköping,FORKLIFT_PERMIT,DETERMINISTIC,,"Issue written truck permits, which presupposes documented forklift training",TRAINING,Forklift training provider,LOW,LOW,TIMELY,METADATA_SUFFICIENT,Inspektion inom Ett tryggt arbetsliv – truck (oanmäld),2025-09-03,26,12,YES
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/033142,Sanktionsavgift - Utstationering - Tjänstemottagare,Avslutat,2025/033142-4,2025-09-30,FINEWELD SVERIGE AB,5568102395,FINEWELD SVERIGE AB,49629355,NORRBOTTENS LÄN,Haparanda,POSTING_NOTIFICATION,GENERIC,,Register posting of workers (administrative),ADMIN,-,-,-,UNKNOWN,DOCUMENT_REQUIRED,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/030266,"Sanktionsavgift- Teknisk anordning, senaste besiktningsintyg",Pågående,2025/030266-1,2025-10-01,STARK PALLTJÄNST AB,5594495631,STARK PALLTJÄNST AB,70725106,SKÅNE LÄN,Åstorp,LIFTING_EQUIPMENT_INSPECTION,DETERMINISTIC,CERTIFICATE_NOT_AVAILABLE,Have the lifting device inspected by an accredited body (and stop using it until approved); pay the fee,INSPECTION,Accredited inspection body (lifting equipment); lifting-equipment service if the device fails,MEDIUM,MEDIUM,LATE,METADATA_SUFFICIENT,,,,,NO
6.4 Hantera avgiftsutdömande,6.4-1 Avgiftsföreläggande,2025/040429,Sanktionsavgift - fallrisk,Avslutat,2025/040429-1,2025-10-01,ÅRE MÅLERI KAKEL & BYGG AB,5567334064,ÅRE MÅLERI KAKEL & BYGG AB,46186227,JÄMTLANDS LÄN,Åre,FALL_PROTECTION,SPECIFIC_BUT_AMBIGUOUS,,"Establish fall protection (railings, harness, scaffold, lift) at the site",EQUIPMENT_OR_METHOD,"Fall-protection equipment/rental, scaffolding, lift rental, safety training",MEDIUM,MEDIUM,UNKNOWN,DOCUMENT_HELPFUL,,,,,NO
