case_diary_number,case_recno,case_start,case_closed,case_title,document_date,document_description,document_category,inspection_result_wording,classification,asset_type,asset_identifiers,asset_count,property_designation,address,district,later_approved_in_case,source_case_url
2025-13181,1304019,2025-09-01,2026-06-12,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, L3485364",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3485364,1,Primusköket 1,Essinge Brogata 2,Lilla Essingen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304019?dataSource=Active
2025-13183,1304021,2025-09-01,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, L3110756",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L3110756,1,Rekryten 4,Gyllenstiernsgatan 18,Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304021?dataSource=Active
2025-13184,1304022,2025-09-01,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, L1142264",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L1142264,1,Piloten 2,Gondolgatan 16,Skarpnäcks Gård,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304022?dataSource=Active
2025-13202,1304040,2025-09-02,,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, 76186, 76187, 76188, 76189",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,76186 76187 76188 76189,4,Ledarö 3,Lysviksgatan 48,Farsta,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304040?dataSource=Active
2025-13205,1304043,2025-09-02,2026-06-02,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, 24090",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,24090,1,Katthuvudet 28,Tavastgatan 22,Södermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304043?dataSource=Active
2025-13206,1304044,2025-09-02,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, 47552",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,47552,1,Kusen 2,Väpnargatan 1,Östermalm,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304044?dataSource=Active
2025-13207,1304045,2025-09-02,2026-05-27,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-02,"Intyg återkommande besiktning, ej godkänt, 27079",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,27079,1,Veterinären 13,Skeppargatan 74,Östermalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304045?dataSource=Active
2025-13329,1304167,2025-09-04,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-04,"Intyg återkommande besiktning, ej godkänt, 28326",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,28326,1,Hägerberget 39,Döbelnsgatan 4A,Norrmalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304167?dataSource=Active
2025-13334,1304172,2025-09-04,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-04,"Intyg återkommande besiktning, ej godkänt, D1466764",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1466764,1,Charkuteristen 1,Hallvägen 27,Johanneshov,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304172?dataSource=Active
2025-13360,1304198,2025-09-04,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-04,"Intyg återkommande besiktning, ej godkänt, D1618461",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1618461,1,Riksby 1:47,"Information saknas för ""Adress""",Riksby,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304198?dataSource=Active
2025-13545,1304383,2025-09-09,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, S297603",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,S297603,1,Bullandö 1,Larsbodavägen 110,Larsboda,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304383?dataSource=Active
2025-13546,1304384,2025-09-05,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2562507",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2562507,1,Reningsverket 1,"Information saknas för ""Adress""",Södra Hammarbyhamnen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304384?dataSource=Active
2025-13547,1304385,2025-09-05,2026-05-28,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2968445",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2968445,1,Duvan 6,Klara Södra Kyrkogata 1,Norrmalm,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304385?dataSource=Active
2025-13549,1304387,2025-09-05,2025-12-02,Anmaning att låta åtgärda hissar samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L2983768, L2984632, L2984758, L2994756",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L2983768 L2984632 L2984758 L2994756,4,Varmfronten 1,"Skarpnäcks Allé 64, Skarpnäcks Allé 72, Skarpnäcks Allé 74, Varmfrontsgatan 8",Skarpnäcks Gård,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304387?dataSource=Active
2025-13559,1304397,2025-09-08,2026-06-04,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1703900",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1703900,1,Kantjärnet 4,Skebokvarnsvägen 370,Högdalen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304397?dataSource=Active
2025-13560,1304398,2025-09-08,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1617339",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1617339,1,Rökhuven 1,Högdalsgången 30,Högdalen,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304398?dataSource=Active
2025-13561,1304399,2025-09-08,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1765309",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1765309,1,Krysstaket 7,Skebokvarnsvägen 55,Bandhagen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304399?dataSource=Active
2025-13566,1304404,2025-09-08,2026-05-19,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, D1770902",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,D1770902,1,Stillbilden 6,Stallarholmsvägen 20,Högdalen,YES,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304404?dataSource=Active
2025-13572,1304410,2025-09-08,,Anmaning att låta åtgärda hiss samt utföra förnyad besiktning,2025-09-09,"Intyg återkommande besiktning, ej godkänt, L7894702",Skrivelse In,ej godkänt,DETERMINISTIC_FAILURE,LIFT,L7894702,1,Kullagulla 1,Dartanjangs Gata 56,Mariehäll,NO,https://etjanster.stockholm.se/Byggochplantjansten/arende/arende/1304410?dataSource=Active
