county,case_number,case_id,case_created_at,case_status,case_decision_date,case_title,municipality,handling_number,handling_id,handling_date,handling_title,sender_recipient,case_kind,direct_supervision,target_organisation_name,target_identifiable,trigger_family,problem_domain,mandatory_action_likelihood,external_purchase_likelihood,metadata_specificity,timing_quality,commercial_relevance,likely_supplier_categories,document_required_for_understanding,supplier_already_engaged,manual_notes
Halland,5531-2026,5585457,2026-08-21,Avslutat,2026-08-21,"Föreläggande om att vidta skyddsåtgärder för det nya förslaget av hantering av länsvatten, del av fastighet i Halmstad",Handlingar,5531-2026-2,,2026-08-21,"Föreläggande om att vidta skyddsåtgärder för det nya förslaget av hantering av länsvatten, del av fastighet i Halmstad",Halmstads kommun,DIRECT_SUPERVISION,YES,Halmstads kommun,PUBLIC_BODY,ENFORCEMENT_ORDER,STORMWATER_PROCESS_WATER,HIGH,HIGH,SPECIFIC,TIMELY,HIGH,stormwater / water treatment consultants; oil separator & filtration suppliers; labs,METADATA_SUFFICIENT,NO,Reviewed. Order to take protective measures for a new handling proposal (municipal operation); concrete and mandatory.
Jönköping,5408-2026,5551757,2026-07-01,Avslutat,2026-08-26,Anmälan om påträffad dieselförorening,Handlingar,5408-2026-2,,2026-07-01,Anmälan om påträffad diselförorening,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Nässjö Affärsverk,ORG_NAMED,CONTAMINATION_DISCOVERED,MONITORING_CONTROL,HIGH,HIGH,SPECIFIC,EARLY,HIGH,environmental consultants (monitoring programmes); accredited sampling / measurement firms; labs,DOCUMENT_WOULD_IMPROVE,NO,Reviewed. Municipal utility reports diesel contamination found; consultant investigation is the normal next step. Later handlings in the case are operator responses.
Jönköping,5554-2026,5557495,2026-07-03,Avslutat,2026-07-07,Beslut om betydande miljöpåverkan samt föreläggande att söka tillstånd,Handlingar,5554-2026-1,,2026-07-03,Beslut om betydande miljöpåverkan samt föreläggande att söka tillstånd,Vetlanda kommun,DIRECT_SUPERVISION,YES,Vetlanda kommun,PUBLIC_BODY,ENFORCEMENT_ORDER,PERMIT_CONDITIONS,HIGH,MEDIUM,SPECIFIC,TIMELY,HIGH,environmental consultants (permits); environmental law,DOCUMENT_WOULD_IMPROVE,NO,Reviewed. Vetlanda kommun ordered to apply for a permit (significant environmental impact): permit application + EIA is consultant work.
Jönköping,5955-2026,5575569,2026-08-06,Handläggning,,Rapport om översiktlig miljöteknisk markundersökning,Sävsjö,5955-2026-4,,2026-09-14,Meddelande om behov av kompletterande markundersökning,Personuppgift,CONTAMINATED_SITE_SUPERVISION,YES,Sävsjö kommun,PUBLIC_BODY,INVESTIGATION_REQUIRED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,EARLY,HIGH,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,"Reviewed. Länsstyrelsen states that a complementary soil investigation is needed after an overview investigation; buyer is Sävsjö kommun, supplier is an environmental consultant."
Skåne,21315-2026,5553338,2026-07-02,Handläggning,,Underrättelse om behov av inventering av PFAS,Handlingar,21315-2026-2,,2026-07-02,Underrättelse om behov av inventering av PFAS,Ystads Hamn och Logistik AB,CONTAMINATED_SITE_SUPERVISION,YES,Ystad Hamn Logistik AB,COMPANY,INVESTIGATION_REQUIRED,CONTAMINATED_LAND_PFAS,HIGH,HIGH,SPECIFIC,EARLY,HIGH,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,NO,"Reviewed. Länsstyrelsen tells the port it must inventory PFAS (MIFO); the MIFO report arrived 2026-08-31, i.e. an 8-week window in which a consultant was procured."
Skåne,21326-2026,5553386,2026-07-02,Handläggning,,Underrättelse om behov av inventering av PFAS,Handlingar,21326-2026-2,,2026-07-02,Underrättelse om behov av inventering av PFAS,Trelleborgs Hamn AB,CONTAMINATED_SITE_SUPERVISION,YES,Trelleborgs Hamn AB,COMPANY,INVESTIGATION_REQUIRED,CONTAMINATED_LAND_PFAS,HIGH,HIGH,SPECIFIC,EARLY,HIGH,environmental consultants (contaminated land / PFAS investigation); analytical laboratories; remediation contractors,METADATA_SUFFICIENT,NO,Reviewed. Same PFAS inventory notice to Trelleborgs Hamn AB; MIFO 1 delivered 2026-09-10.
Skåne,24178-2026,5578703,2026-08-12,Avslutat,2026-08-17,"Underrättelse om upptäckt av påträffad förorening, Östra Göinge kommun",Östra Göinge,24178-2026-1,,2026-08-12,Underrättelse om upptäckt av påträffad förorening,Personuppgift,ENVIRONMENTAL_INCIDENT,PARTIAL,Skåne Blekinge Vattentjänst AB,COMPANY,CONTAMINATION_DISCOVERED,UNKNOWN,HIGH,HIGH,SPECIFIC,EARLY,HIGH,-,DOCUMENT_WOULD_IMPROVE,NO,Reviewed. VA company reports newly discovered contamination; investigation/remediation need is concrete and the buyer is named. Document would tell what/where.
Västra Götaland,36859-2026,5608046,2026-09-10,Avslutat,2026-09-17,"Meddelande om beslut, Förbud att tvätta mer än 625 storbehållare 2026-2568",Borås,36859-2026-1,,2026-09-10,"Meddelande om beslut, Förbud att tvätta mer än 625 storbehållare 2026-2568",Brenntag Nordic AB,DIRECT_SUPERVISION,YES,Brenntag Nordic AB,COMPANY,ENFORCEMENT_ORDER,WASTE,HIGH,MEDIUM,SPECIFIC,TIMELY,HIGH,waste management consultants; waste handling equipment; environmental law,DOCUMENT_WOULD_IMPROVE,NO,"Reviewed. Prohibition capping IBC washing volume at Brenntag; operator must either reduce, invest or seek permit. Document needed for why."
Dalarna,6142-2026,5553214,2026-07-02,Handläggning,,"Anmälan om avhjälpandeåtgärder enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd för schaktning för att anlägga ett nytt bergsspel inkl ny lave, Hedemora kommun",Hedemora,6142-2026-1,,2026-07-02,"Anmälan om avhjälpandeåtgärder enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd för schaktning för att anlägga ett nytt bergsspel inkl ny lave, Hedemora kommun",Boliden Mineral AB,CONTAMINATED_SITE_SUPERVISION,YES,Boliden Mineral AB,COMPANY,REMEDIATION_NOTIFIED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,Rule-based. 28 § remediation notification: consultant and contractor already engaged when notified.
Dalarna,6142-2026,5553214,2026-07-02,Handläggning,,"Anmälan om avhjälpandeåtgärder enligt 28 § förordning om miljöfarlig verksamhet och hälsoskydd för schaktning för att anlägga ett nytt bergsspel inkl ny lave, Hedemora kommun",Hedemora,6142-2026-2,,2026-07-10,Kompletteringsbegäran till §28 anmälan för schaktning för att anlägga nytt bergsspel inkl ny lave,Boliden Mineral AB,CONTAMINATED_SITE_SUPERVISION,YES,Boliden Mineral AB,COMPANY,INVESTIGATION_REQUIRED,CONTAMINATED_LAND,HIGH,HIGH,SPECIFIC,LATE,MEDIUM,environmental consultants (contaminated land); analytical laboratories; remediation / excavation contractors; environmental law,METADATA_SUFFICIENT,NO,"Rule-based classification, not individually reviewed."
